Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Cost of good sold,Selling price
750-67-8428,A,New York,Member,Female,Health and beauty,74.69,7,26.14,548.9715,1/5/2019,13:08,Ewallet,522.83,705.82
226-31-3081,C,Los Angeles,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,76.4,106.96
631-41-3108,A,New York,Normal,Male,Home and lifestyle,46.33,7,16.22,340.5255,3/3/2019,13:23,Credit card,324.31,437.82
123-19-1176,A,New York,Member,Male,Health and beauty,58.22,8,23.29,489.048,1/27/2019,20:33,Ewallet,465.76,628.78
373-73-7910,A,New York,Normal,Male,Food and beverages,86.31,7,30.21,634.3785,2/8/2019,10:37,Ewallet,604.17,652.5
699-14-3026,C,Los Angeles,Normal,Male,Electronic accessories,85.39,7,29.89,627.6165,3/25/2019,18:30,Ewallet,597.73,836.82
355-53-5943,A,New York,Member,Female,Electronic accessories,68.84,6,20.65,433.692,2/25/2019,14:36,Ewallet,413.04,578.26
315-22-5665,C,Los Angeles,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,735.6,993.06
665-32-9167,A,New York,Member,Female,Health and beauty,36.26,2,3.63,76.146,1/10/2019,17:15,Credit card,72.52,97.9
692-92-5582,B,San Francisco,Member,Female,Food and beverages,54.84,3,8.23,172.746,2/20/2019,13:27,Credit card,164.52,177.68
351-62-0822,B,San Francisco,Member,Female,Food and beverages,14.48,4,2.9,60.816,2/6/2019,18:07,Ewallet,57.92,62.55
529-56-3974,B,San Francisco,Member,Male,Electronic accessories,25.51,4,5.1,107.142,3/9/2019,17:03,Cash,102.04,142.86
365-64-0515,A,New York,Normal,Female,Electronic accessories,46.95,5,11.74,246.4875,2/12/2019,10:25,Ewallet,234.75,328.65
252-56-2699,A,New York,Normal,Male,Food and beverages,43.19,10,21.6,453.495,2/7/2019,16:48,Ewallet,431.9,466.45
829-34-3910,A,New York,Normal,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,713.8,963.63
299-46-1805,B,San Francisco,Member,Female,Food and beverages,93.72,6,28.12,590.436,1/15/2019,16:19,Cash,562.32,607.31
656-95-9349,A,New York,Member,Female,Health and beauty,68.93,7,24.13,506.6355,3/11/2019,11:03,Credit card,482.51,651.39
765-26-6951,A,New York,Normal,Male,Food and beverages,72.61,6,21.78,457.443,1/1/2019,10:39,Credit card,435.66,470.51
329-62-1586,A,New York,Normal,Male,Food and beverages,54.67,3,8.2,172.2105,1/21/2019,18:00,Credit card,164.01,177.13
319-50-3348,B,San Francisco,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,3/11/2019,15:30,Ewallet,80.6,108.81
300-71-4605,C,Los Angeles,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,430.2,602.28
371-85-5789,B,San Francisco,Normal,Male,Health and beauty,87.98,3,13.2,277.137,3/5/2019,10:40,Ewallet,263.94,356.32
273-16-6619,B,San Francisco,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20,Credit card,66.4,89.64
636-48-8204,A,New York,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,172.8,241.92
549-59-1358,A,New York,Member,Male,Food and beverages,88.63,3,13.29,279.1845,3/2/2019,17:36,Ewallet,265.89,287.16
227-03-5010,A,New York,Member,Female,Home and lifestyle,52.59,8,21.04,441.756,3/22/2019,19:20,Credit card,420.72,567.97
649-29-6775,B,San Francisco,Normal,Male,Food and beverages,33.52,1,1.68,35.196,2/8/2019,15:31,Cash,33.52,36.2
189-17-4241,A,New York,Normal,Female,Food and beverages,87.67,2,8.77,184.107,3/10/2019,12:17,Credit card,175.34,189.37
145-94-9061,B,San Francisco,Normal,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,441.8,477.14
848-62-7243,A,New York,Normal,Male,Health and beauty,24.89,9,11.2,235.2105,3/15/2019,15:36,Cash,224.01,302.41
871-79-8483,B,San Francisco,Normal,Male,Food and beverages,94.13,5,23.53,494.1825,2/25/2019,19:39,Credit card,470.65,508.3
149-71-6266,B,San Francisco,Member,Male,Food and beverages,78.07,9,35.13,737.7615,1/28/2019,12:43,Cash,702.63,758.84
640-49-2076,B,San Francisco,Normal,Male,Food and beverages,83.78,8,33.51,703.752,1/10/2019,14:49,Cash,670.24,723.86
595-11-5460,A,New York,Normal,Male,Health and beauty,96.58,2,9.66,202.818,3/15/2019,10:12,Credit card,193.16,260.77
183-56-6882,C,Los Angeles,Member,Female,Food and beverages,99.42,4,19.88,417.564,2/6/2019,10:42,Ewallet,397.68,429.49
232-16-2483,C,Los Angeles,Member,Female,Food and beverages,68.12,1,3.41,71.526,1/7/2019,12:28,Ewallet,68.12,73.57
129-29-8530,A,New York,Member,Male,Food and beverages,62.62,5,15.66,328.755,3/10/2019,19:15,Ewallet,313.1,338.15
272-65-1806,A,New York,Normal,Female,Electronic accessories,60.88,9,27.4,575.316,1/15/2019,17:17,Ewallet,547.92,767.09
333-73-7901,C,Los Angeles,Normal,Female,Health and beauty,54.92,8,21.97,461.328,3/23/2019,13:24,Ewallet,439.36,593.14
777-82-7220,B,San Francisco,Member,Male,Home and lifestyle,30.12,8,12.05,253.008,3/3/2019,13:01,Cash,240.96,325.3
280-35-5823,B,San Francisco,Member,Female,Home and lifestyle,86.72,1,4.34,91.056,1/17/2019,18:45,Ewallet,86.72,117.07
554-53-8700,C,Los Angeles,Member,Male,Home and lifestyle,56.11,2,5.61,117.831,2/2/2019,10:11,Cash,112.22,151.5
354-25-5821,B,San Francisco,Member,Female,Food and beverages,69.12,6,20.74,435.456,2/8/2019,13:03,Cash,414.72,447.9
228-96-1411,C,Los Angeles,Member,Female,Food and beverages,98.7,8,39.48,829.08,3/4/2019,20:39,Cash,789.6,852.77
617-15-4209,C,Los Angeles,Member,Male,Health and beauty,15.37,2,1.54,32.277,3/16/2019,19:47,Cash,30.74,41.5
132-32-9879,B,San Francisco,Member,Female,Electronic accessories,93.96,4,18.79,394.632,3/9/2019,18:00,Cash,375.84,526.18
370-41-7321,B,San Francisco,Member,Male,Health and beauty,56.69,9,25.51,535.7205,2/27/2019,17:24,Credit card,510.21,688.78
727-46-3608,B,San Francisco,Member,Female,Food and beverages,20.01,9,9,189.0945,2/6/2019,15:47,Ewallet,180.09,194.5
669-54-1719,B,San Francisco,Member,Male,Electronic accessories,18.93,6,5.68,119.259,2/10/2019,12:45,Credit card,113.58,159.01
574-22-5561,C,Los Angeles,Member,Female,Food and beverages,82.63,10,41.32,867.615,3/19/2019,17:08,Ewallet,826.3,892.4
326-78-5178,C,Los Angeles,Member,Male,Food and beverages,91.4,7,31.99,671.79,2/3/2019,10:19,Cash,639.8,690.98
162-48-8011,A,New York,Member,Female,Food and beverages,44.59,5,11.15,234.0975,2/10/2019,15:10,Cash,222.95,240.79
616-24-2851,B,San Francisco,Member,Female,Food and beverages,17.87,4,3.57,75.054,3/22/2019,14:42,Ewallet,71.48,77.2
778-71-5554,C,Los Angeles,Member,Male,Food and beverages,15.43,1,0.77,16.2015,1/25/2019,15:46,Credit card,15.43,16.66
242-55-6721,B,San Francisco,Normal,Male,Home and lifestyle,16.16,2,1.62,33.936,3/7/2019,11:49,Ewallet,32.32,43.63
399-46-5918,C,Los Angeles,Normal,Female,Electronic accessories,85.98,8,34.39,722.232,2/28/2019,19:01,Cash,687.84,962.98
106-35-6779,A,New York,Member,Male,Home and lifestyle,44.34,2,4.43,93.114,3/27/2019,11:26,Cash,88.68,119.72
635-40-6220,A,New York,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2/7/2019,11:28,Ewallet,716.8,967.68
817-48-8732,A,New York,Member,Female,Home and lifestyle,72.35,10,36.18,759.675,1/20/2019,15:55,Cash,723.5,976.73
120-06-4233,C,Los Angeles,Normal,Male,Electronic accessories,30.61,6,9.18,192.843,3/12/2019,20:36,Cash,183.66,257.12
285-68-5083,C,Los Angeles,Member,Female,Food and beverages,24.74,3,3.71,77.931,2/15/2019,17:47,Credit card,74.22,80.16
803-83-5989,C,Los Angeles,Normal,Male,Home and lifestyle,55.73,6,16.72,351.099,2/24/2019,10:55,Ewallet,334.38,451.41
347-34-2234,B,San Francisco,Member,Female,Food and beverages,55.07,9,24.78,520.4115,2/3/2019,13:40,Ewallet,495.63,535.28
