Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,066006,1885,87.0,29.0,52.1,36.1,4.1,414.5,191.0,0.0,11.4,6.6,12.4,94.9,939.1
IDCJAC0001,066006,1886,66.1,12.7,127.4,84.2,60.2,39.0,137.1,49.9,6.6,101.1,107.0,78.8,870.1
IDCJAC0001,066006,1887,153.8,114.8,65.9,207.2,261.0,140.4,90.2,183.3,33.3,9.1,128.4,139.4,1526.8
IDCJAC0001,066006,1888,0.0,74.6,2.5,0.5,11.0,41.5,72.9,51.1,64.4,26.1,8.6,199.1,552.3
IDCJAC0001,066006,1889,43.3,57.1,24.2,86.8,521.9,28.3,238.4,113.4,99.8,15.0,130.7,54.7,1413.6
IDCJAC0001,066006,1890,139.3,468.3,424.7,71.8,216.7,288.3,229.7,37.6,63.5,45.4,120.7,62.0,2168.0
IDCJAC0001,066006,1891,102.7,69.5,251.0,143.4,91.5,426.0,107.7,92.5,165.8,48.1,85.2,23.6,1607.0
IDCJAC0001,066006,1892,136.9,116.1,481.9,98.6,81.2,55.3,110.0,133.6,181.1,132.3,72.0,165.8,1764.8
IDCJAC0001,066006,1893,95.1,81.6,275.5,190.8,43.9,198.8,135.6,76.1,39.6,119.2,115.4,44.6,1416.2
IDCJAC0001,066006,1894,40.3,180.8,340.7,100.3,32.8,41.7,57.0,39.9,176.2,69.8,10.4,99.6,1189.5
IDCJAC0001,066006,1895,220.6,204.7,37.8,76.1,66.8,31.4,10.7,15.1,110.2,24.6,76.3,86.4,960.7
IDCJAC0001,066006,1896,42.9,120.9,102.4,3.3,99.6,269.0,51.3,39.9,7.9,50.8,136.4,43.2,967.6
IDCJAC0001,066006,1897,32.3,8.9,98.0,163.8,87.6,205.7,157.2,115.8,30.7,30.7,4.1,135.4,1070.2
IDCJAC0001,066006,1898,139.7,116.3,41.4,12.4,313.4,167.9,74.7,130.8,30.5,97.5,11.9,26.4,1162.9
IDCJAC0001,066006,1899,52.8,30.7,73.7,86.1,162.1,287.5,102.6,373.9,0.0,90.2,131.1,20.3,1411.0
IDCJAC0001,066006,1900,43.7,39.1,109.2,151.9,319.0,282.7,326.9,12.4,64.8,2.5,187.7,44.5,1584.4
IDCJAC0001,066006,1901,161.5,37.8,83.6,356.6,46.5,23.6,101.3,109.5,73.7,45.7,17.3,8.6,1065.7
IDCJAC0001,066006,1902,58.4,7.6,52.6,64.3,34.0,22.9,284.5,163.6,49.8,268.7,72.6,63.5,1142.5
IDCJAC0001,066006,1903,49.0,26.2,93.2,45.5,80.5,47.5,120.4,143.0,126.7,94.7,61.0,101.6,989.3
IDCJAC0001,066006,1904,48.8,98.6,132.3,332.5,146.3,4.6,274.8,37.3,27.4,62.7,12.4,21.3,1199.0
IDCJAC0001,066006,1905,43.2,52.3,204.0,141.2,143.3,58.2,11.4,17.8,69.3,64.0,9.9,42.9,857.5
IDCJAC0001,066006,1906,58.4,9.7,99.3,23.9,213.6,54.9,5.6,131.6,33.0,48.0,109.5,33.8,821.3
IDCJAC0001,066006,1907,66.0,63.0,203.7,35.1,38.6,254.5,11.2,7.6,7.1,14.5,52.3,45.2,798.8
IDCJAC0001,066006,1908,43.9,182.1,70.4,73.4,67.1,25.4,290.1,243.8,75.4,38.1,16.5,31.8,1158.0
IDCJAC0001,066006,1909,32.5,202.7,34.8,34.8,30.7,117.6,22.8,56.7,132.3,66.9,23.1,86.4,841.3
IDCJAC0001,066006,1910,128.2,11.8,184.5,94.7,68.2,78.8,225.7,5.8,53.1,84.0,4.9,214.0,1153.7
IDCJAC0001,066006,1911,369.0,131.9,48.6,77.0,40.0,4.0,188.1,202.7,47.0,17.9,46.0,70.1,1242.3
IDCJAC0001,066006,1912,31.6,162.3,219.5,121.1,84.4,58.3,286.2,46.4,11.2,25.2,80.0,53.0,1179.2
IDCJAC0001,066006,1913,20.4,38.3,207.6,243.4,416.2,278.3,194.3,1.8,35.7,26.7,16.3,5.0,1484.0
IDCJAC0001,066006,1914,17.8,39.6,250.2,37.1,79.0,153.5,228.8,58.5,161.0,191.6,61.8,221.0,1499.9
IDCJAC0001,066006,1915,34.8,35.1,82.4,309.8,141.2,42.2,146.1,31.2,42.2,24.6,1.4,85.0,976.0
IDCJAC0001,066006,1916,36.9,70.3,97.4,114.8,51.9,52.1,90.6,73.1,119.3,208.9,79.0,81.6,1075.9
IDCJAC0001,066006,1917,76.5,160.0,29.8,340.9,79.6,110.7,8.9,39.7,148.6,127.7,179.4,51.6,1353.4
IDCJAC0001,066006,1918,317.5,105.7,62.4,142.0,13.2,12.5,217.5,63.9,90.4,19.3,34.8,26.9,1106.1
IDCJAC0001,066006,1919,48.0,144.6,145.5,113.6,642.1,62.3,53.5,20.1,99.0,105.1,89.5,73.6,1596.9
IDCJAC0001,066006,1920,183.8,44.8,42.4,62.9,9.9,62.1,153.9,32.7,26.3,43.9,46.9,403.4,1113.0
IDCJAC0001,066006,1921,80.8,20.9,86.1,152.0,184.0,24.2,198.4,30.5,73.1,82.7,71.6,134.4,1138.7
IDCJAC0001,066006,1922,182.3,56.8,49.9,38.3,106.7,43.0,291.4,52.4,105.9,87.7,10.9,38.4,1063.7
IDCJAC0001,066006,1923,43.2,19.5,51.8,257.2,26.0,102.0,161.2,105.8,63.7,34.0,41.5,35.0,940.9
IDCJAC0001,066006,1924,93.7,57.8,96.5,168.7,83.0,50.7,41.2,65.7,74.9,32.8,82.8,66.2,914.0
IDCJAC0001,066006,1925,114.3,48.3,68.5,54.2,536.6,171.0,5.4,96.7,15.7,16.6,99.0,30.8,1257.1
IDCJAC0001,066006,1926,89.0,26.2,317.6,92.3,69.4,33.2,58.4,26.7,43.3,7.6,0.5,172.2,936.4
IDCJAC0001,066006,1927,104.2,16.5,105.0,455.2,54.5,112.6,8.4,7.8,75.7,91.0,151.7,54.5,1237.1
IDCJAC0001,066006,1928,62.4,173.4,128.6,118.2,82.1,175.3,172.5,34.8,4.6,42.9,6.8,51.1,1052.7
IDCJAC0001,066006,1929,8.4,295.7,133.7,172.0,253.0,75.0,79.0,103.5,41.4,211.1,95.2,48.8,1516.8
IDCJAC0001,066006,1930,114.6,15.9,109.5,164.6,121.8,326.3,108.2,31.1,5.4,49.1,22.5,133.4,1202.4
IDCJAC0001,066006,1931,55.9,39.4,182.2,189.8,91.4,32.2,315.8,4.8,145.8,24.7,81.8,93.4,1257.2
IDCJAC0001,066006,1932,5.1,119.3,78.4,97.1,54.5,30.1,80.2,55.4,228.7,23.5,95.1,106.7,974.1
IDCJAC0001,066006,1933,189.1,10.0,58.6,191.3,138.5,51.8,83.4,8.2,68.0,105.2,114.1,81.3,1099.5
IDCJAC0001,066006,1934,58.6,207.2,51.8,224.5,141.5,114.0,261.2,157.0,174.9,51.1,112.8,159.1,1713.7
IDCJAC0001,066006,1935,75.2,81.7,72.5,24.7,57.6,120.1,34.1,5.3,63.5,86.0,60.0,110.2,790.9
IDCJAC0001,066006,1936,98.6,120.6,92.9,46.7,55.8,75.4,21.8,35.5,36.9,20.5,6.4,140.1,751.2
IDCJAC0001,066006,1937,54.2,31.9,254.5,157.0,19.8,404.6,81.4,107.8,12.7,85.5,103.4,57.8,1370.6
IDCJAC0001,066006,1938,257.7,105.8,31.5,70.6,94.1,11.8,77.7,217.2,50.4,73.1,38.9,10.9,1039.7
IDCJAC0001,066006,1939,76.5,2.0,265.8,107.5,90.0,19.7,34.6,63.3,69.3,50.1,53.2,19.8,851.8
IDCJAC0001,066006,1940,8.9,18.2,13.3,159.9,153.8,40.7,99.9,76.4,71.4,56.1,62.1,159.5,920.2
IDCJAC0001,066006,1941,99.9,54.8,40.5,82.6,55.0,53.2,44.5,75.7,51.6,51.3,29.1,25.9,664.1
IDCJAC0001,066006,1942,8.1,35.3,520.9,13.9,40.6,136.1,55.7,27.7,17.8,152.6,132.6,98.0,1239.3
IDCJAC0001,066006,1943,50.1,12.9,29.1,38.5,367.1,10.6,5.9,189.4,211.1,41.7,211.0,81.2,1248.6
IDCJAC0001,066006,1944,72.9,92.9,109.4,69.7,99.4,53.1,79.0,109.3,23.3,27.2,15.8,20.3,772.3
IDCJAC0001,066006,1945,58.1,43.0,34.5,324.3,185.6,202.3,79.2,57.4,6.1,35.8,51.9,38.7,1116.9
IDCJAC0001,066006,1946,14.2,74.0,97.3,260.2,63.2,171.7,1.5,5.8,25.3,63.5,87.4,18.6,882.7
IDCJAC0001,066006,1947,40.7,126.2,53.7,196.9,126.2,51.1,13.2,46.1,20.7,52.1,112.1,212.9,1051.9
IDCJAC0001,066006,1948,212.9,62.6,105.3,37.3,152.6,198.0,18.2,9.9,71.4,16.2,26.1,104.3,1014.8
IDCJAC0001,066006,1949,274.9,165.8,113.8,34.6,123.6,427.6,69.1,147.8,257.1,37.7,96.3,50.5,1798.8
IDCJAC0001,066006,1950,160.6,151.8,122.8,166.8,165.8,681.4,346.5,85.5,97.2,112.3,108.8,44.2,2243.7
IDCJAC0001,066006,1951,270.4,63.4,112.8,41.3,175.1,373.7,49.9,157.0,89.7,50.0,16.5,14.8,1414.6
IDCJAC0001,066006,1952,56.1,53.9,97.2,250.0,61.6,152.9,226.2,346.4,21.1,212.1,80.1,40.8,1598.4
IDCJAC0001,066006,1953,78.5,159.0,95.2,18.8,479.0,42.4,77.5,51.7,28.8,69.0,47.1,10.7,1157.7
IDCJAC0001,066006,1954,137.2,246.3,18.3,19.4,40.1,11.5,117.4,35.1,56.5,179.9,166.8,83.1,1111.6
IDCJAC0001,066006,1955,203.5,271.7,229.0,80.4,330.2,142.3,49.3,16.3,27.7,45.8,227.2,251.1,1874.5
IDCJAC0001,066006,1956,105.5,578.1,356.1,32.7,149.3,210.0,60.7,89.7,27.4,64.7,8.8,27.3,1710.3
IDCJAC0001,066006,1957,49.9,69.7,160.0,26.1,2.6,27.0,130.9,139.6,21.5,12.0,27.9,52.4,719.6
IDCJAC0001,066006,1958,122.8,338.5,343.7,76.4,14.2,212.6,30.3,84.1,29.5,53.4,11.3,148.9,1465.7
IDCJAC0001,066006,1959,154.7,185.2,150.7,36.0,52.9,113.8,201.4,92.0,89.5,320.8,105.6,47.8,1550.4
IDCJAC0001,066006,1960,56.9,89.3,41.8,30.1,113.3,87.4,148.5,59.8,63.2,272.7,66.4,240.1,1269.5
IDCJAC0001,066006,1961,58.1,86.9,43.5,83.8,29.3,53.7,39.8,258.5,50.7,71.9,485.9,164.8,1426.9
IDCJAC0001,066006,1962,117.3,166.5,58.5,88.4,256.3,3.8,46.5,115.8,79.8,20.6,13.0,119.3,1085.8
IDCJAC0001,066006,1963,123.2,44.0,398.5,241.5,216.2,254.3,74.0,237.7,20.0,59.9,42.1,243.6,1955.0
IDCJAC0001,066006,1964,17.2,40.1,153.6,135.7,78.8,434.4,9.1,24.6,16.7,85.5,71.9,38.1,1105.7
IDCJAC0001,066006,1965,30.5,33.5,7.9,93.2,45.8,235.2,93.1,11.5,95.6,177.4,37.8,38.1,899.6
IDCJAC0001,066006,1966,22.8,140.9,138.4,240.3,65.8,139.9,15.6,100.1,62.7,57.6,179.6,96.1,1259.8
IDCJAC0001,066006,1967,156.7,156.6,136.9,39.1,43.9,342.4,31.3,200.2,107.8,87.4,111.2,48.8,1462.3
IDCJAC0001,066006,1968,132.7,20.2,115.4,16.0,116.7,23.9,64.3,28.7,5.1,4.4,18.1,86.9,632.4
IDCJAC0001,066006,1969,53.0,251.2,100.8,186.5,49.4,204.0,51.0,164.7,85.3,42.9,248.0,35.5,1472.3
IDCJAC0001,066006,1970,142.8,49.3,203.4,58.5,10.6,40.7,1.8,34.4,165.4,20.3,127.5,274.4,1129.1
IDCJAC0001,066006,1971,132.2,181.2,78.2,84.6,114.6,70.2,19.6,180.6,54.6,2.5,76.0,129.5,1123.8
IDCJAC0001,066006,1972,400.7,110.3,201.0,70.6,96.3,112.0,4.1,34.9,11.1,170.0,63.5,42.8,1317.3
IDCJAC0001,066006,1973,279.8,351.1,108.5,77.4,28.5,73.8,107.6,91.2,72.6,178.6,121.8,33.4,1524.3
IDCJAC0001,066006,1974,200.6,44.0,284.6,164.6,229.5,220.5,17.4,175.8,46.4,74.7,115.2,33.4,1606.7
IDCJAC0001,066006,1975,47.6,140.0,388.6,78.0,18.6,379.2,49.0,25.8,49.6,115.0,32.2,37.4,1361.0
IDCJAC0001,066006,1976,293.6,221.0,304.3,50.8,22.9,155.4,153.4,38.0,135.4,286.0,112.6,23.6,1797.0
